2025-05-01T10:12:03 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x7f3a2c1d4310>}
2025-05-01T10:14:31 | DEBUG    | trading_bot.client | ← HTTP 200 | body={}
2025-05-01T10:14:31 | INFO     | trading_bot.orders | Placing order | symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=100000.0
2025-05-01T10:14:31 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '100000.0', 'timeInForce': 'GTC'}
2025-05-01T10:14:32 | DEBUG    | trading_bot.client | ← HTTP 200 | body={"orderId":4007441053,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_RkN3Lm2Xq9pYsT7vZ0Ae","price":"100000.00","avgPrice":"0.00000","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1746089672005}
2025-05-01T10:14:32 | INFO     | trading_bot.client | Order placed   | orderId=4007441053 status=NEW executedQty=0.000 avgPrice=0.00000
2025-05-01T10:14:32 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 4007441053, "symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "origQty": "0.001", "executedQty": "0.000", "price": "100000.00", "avgPrice": "0.00000", "status": "NEW", "timeInForce": "GTC", "updateTime": 1746089672005}
2025-05-01T10:16:08 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.001, 'price': None, 'stop_price': 90000.0, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x7f3a2c1d4310>}
2025-05-01T10:16:08 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised | base_url=https://testnet.binancefuture.com
2025-05-01T10:16:08 | DEBUG    | trading_bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
2025-05-01T10:16:08 | DEBUG    | trading_bot.client | ← HTTP 200 | body={}
2025-05-01T10:16:08 | INFO     | trading_bot.orders | Placing order | symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.001 price=None
2025-05-01T10:16:08 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.001', 'stopPrice': '90000.0'}
2025-05-01T10:16:09 | DEBUG    | trading_bot.client | ← HTTP 200 | body={"orderId":4007444821,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_Hb7Vn1Fw4dKsYp0mQ3Rj","price":"0","avgPrice":"0.00000","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.000","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"90000.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","updateTime":1746089769441}
2025-05-01T10:16:09 | INFO     | trading_bot.client | Order placed   | orderId=4007444821 status=NEW executedQty=0.000 avgPrice=0.00000
2025-05-01T10:16:09 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 4007444821, "symbol": "BTCUSDT", "side": "SELL", "type": "STOP_MARKET", "origQty": "0.001", "executedQty": "0.000", "price": "0", "avgPrice": "0.00000", "status": "NEW", "timeInForce": "GTC", "updateTime": 1746089769441}
2025-05-01T10:18:45 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.002, 'price': 55000.0, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False}
2025-05-01T10:18:45 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised | base_url=https://testnet.binancefuture.com
2025-05-01T10:18:45 | DEBUG    | trading_bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
2025-05-01T10:18:45 | DEBUG    | trading_bot.client | ← HTTP 200 | body={}
2025-05-01T10:18:45 | INFO     | trading_bot.orders | Placing order | symbol=BTCUSDT side=BUY type=LIMIT qty=0.002 price=55000.0
2025-05-01T10:18:45 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.002', 'price': '55000.0', 'timeInForce': 'GTC'}
2025-05-01T10:18:46 | DEBUG    | trading_bot.client | ← HTTP 200 | body={"orderId":4007447299,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_Zc4Qx2Dp8wEtYb6nF1Gk","price":"55000.00","avgPrice":"0.00000","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1746089926118}
2025-05-01T10:18:46 | INFO     | trading_bot.client | Order placed   | orderId=4007447299 status=NEW executedQty=0.000 avgPrice=0.00000
2025-05-01T10:18:46 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 4007447299, "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "origQty": "0.002", "executedQty": "0.000", "price": "55000.00", "avgPrice": "0.00000", "status": "NEW", "timeInForce": "GTC", "updateTime": 1746089926118}
2025-05-01T10:20:11 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.1, 'price': None, 'stop_price': None}
2025-05-01T10:20:11 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.1'}
2025-05-01T10:20:11 | INFO     | trading_bot.client | Order placed   | orderId=4007451883 status=FILLED executedQty=0.1 avgPrice=3210.55
2025-05-01T10:20:11 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 4007451883, "symbol": "ETHUSDT", "side": "BUY", "type": "MARKET", "origQty": "0.1", "executedQty": "0.1", "price": "0", "avgPrice": "3210.55", "status": "FILLED", "timeInForce": "GTC", "updateTime": 1746090011772}
2025-05-01T10:22:33 | ERROR    | trading_bot.client | API error placing order | code=-1121 msg=Invalid symbol. http=400
2026-05-01T09:49:53 | INFO     | trading_bot.test | Logging test OK
2026-05-01T22:53:04 | INFO     | trading_bot.cli | Command: ping | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'ping', 'func': <function cmd_ping at 0x000001EB6CD4D640>}
2026-05-01T22:56:43 | INFO     | trading_bot.cli | Command: ping | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'ping', 'func': <function cmd_ping at 0x000002546C365430>}
2026-05-01T22:59:38 | INFO     | trading_bot.cli | Command: ping | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'ping', 'func': <function cmd_ping at 0x000001D36A5F5430>}
2026-05-01T23:01:02 | INFO     | trading_bot.cli | Command: place | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x0000021DF87B5010>}
2026-05-01T23:01:05 | INFO     | trading_bot.client | Placing order | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None
2026-05-01T23:01:05 | ERROR    | trading_bot.orders | API error placing order | code=-2015 msg=Invalid API-key, IP, or permissions for action http=401
2026-05-01T23:06:19 | INFO     | trading_bot.cli | Command: place | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x000001AA7A4C5010>}
2026-05-01T23:06:24 | INFO     | trading_bot.client | Placing order | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None
2026-05-01T23:06:24 | ERROR    | trading_bot.orders | API error placing order | code=-2019 msg=Margin is insufficient. http=400
2026-05-01T23:12:07 | INFO     | trading_bot.cli | Command: place | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x000002343D035010>}
2026-05-01T23:12:10 | INFO     | trading_bot.client | Placing order | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None
2026-05-01T23:12:10 | INFO     | trading_bot.client | Order placed   | orderId=13097189321 status=NEW executedQty=0.0000 avgPrice=0.00
2026-05-01T23:12:10 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 13097189321, "symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "origQty": "0.0010", "executedQty": "0.0000", "price": "0.00", "avgPrice": "0.00", "status": "NEW", "timeInForce": "GTC", "updateTime": 1777657334157}
2026-05-01T23:14:46 | INFO     | trading_bot.cli | Command: place | args={'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'command': 'place', 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 100000.0, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x000001F3D0BC5010>}
2026-05-01T23:14:49 | INFO     | trading_bot.client | Placing order | symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=100000.0
2026-05-01T23:14:49 | INFO     | trading_bot.client | Order placed   | orderId=13097195461 status=NEW executedQty=0.0000 avgPrice=0.00
2026-05-01T23:14:49 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 13097195461, "symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "origQty": "0.0010", "executedQty": "0.0000", "price": "100000.00", "avgPrice": "0.00", "status": "NEW", "timeInForce": "GTC", "updateTime": 1777657492488}
